Date,Close,High,Low,Open,Volume
2020-02-26,120.46468353271484,123.26470965330338,120.01923397445483,122.21015165884519,520500
2020-02-27,115.3555679321289,120.48288557622396,115.31011020920663,119.11923711905241,956000
2020-02-28,109.62824249267578,114.17373738536571,107.21004281641962,112.77373106198701,1207400
2020-03-02,116.26467895507812,116.31922267953884,109.64643886666022,109.81916990861976,553200
2020-03-03,112.04646301269531,117.86469164883253,111.71009385196916,115.79195376609984,553100
2020-03-04,115.31922149658203,115.41922295422872,111.591916507538,113.8737572311223,533400
2020-03-05,109.81915283203125,112.65553703694556,107.99186205210614,111.95553391700498,445500
2020-03-06,108.81006622314453,109.3646171919358,105.3736729646512,105.600947724455,468300
2020-03-09,99.13726043701172,105.00094690543231,97.9463358899139,102.72819913691646,723300
2020-03-10,103.53727722167969,103.6463715908676,98.97360361670547,102.42817541049635,499000
2020-03-11,98.52815246582031,101.75545686517239,97.35541385992302,100.62817598609003,449500
2020-03-12,87.82805633544922,94.8008441112392,86.700775499646,91.04626767870806,716500
2020-03-13,95.02811431884766,95.20084534279931,88.70078631366128,93.0462782848421,573700
2020-03-16,76.27339935302734,91.0462565275816,75.7552132557241,84.5461979836029,968800
2020-03-17,84.09163665771484,86.23711032082477,76.11884345557301,78.6188650859375,1063700
2020-03-18,73.10067749023438,82.09166894447279,71.90975269983059,78.47345070600815,868600
2020-03-19,75.85521697998047,77.70068669914536,69.33697237706696,72.41882413244937,883900
2020-03-20,82.77347564697266,85.32804189286387,72.96429554728047,75.80977322709568,1082600
2020-03-23,84.70985412597656,89.10989042572105,80.41890527889886,83.27347588827458,793500
2020-03-24,89.20079040527344,91.4280800318152,86.07348783515404,88.39169290430932,695700
2020-03-25,90.58264923095703,94.16450251583466,87.57353291580206,88.08262627922053,597400
2020-03-26,95.77356719970703,96.40994058772242,89.8826102442807,90.15533575125232,477500
2020-03-27,95.18266296386719,98.46451092384667,91.90990793597453,92.83719280433368,409400
2020-03-30,97.5735855102539,98.78268869833995,90.45533953826134,95.04629170626144,358700
2020-03-31,94.62812042236328,96.7645088206768,93.01901809380169,96.69177922927132,754200
2020-04-01,92.83721160888672,93.90085599461918,91.10082882996115,91.36446842688119,578600
2020-04-02,90.96444702148438,95.41903367030967,89.82807323024706,91.80990939959995,609500
2020-04-03,89.77352905273438,91.70082148981952,88.69169898947959,89.89170942950899,288300
2020-04-06,94.48265838623047,95.15538969734156,90.79171870325965,93.46446501967392,527200
2020-04-07,94.62812042236328,100.5736292701872,94.40993858402243,97.36451061008302,420800
2020-04-08,97.01905822753906,97.74633335475271,94.40084834911772,95.55540810408151,310900
2020-04-09,102.17364501953125,104.3100264697958,97.2736015344865,98.41906831703122,353700
2020-04-13,98.70087432861328,101.81908405523998,98.62814474682105,101.6463530324521,320900
2020-04-14,97.90086364746094,102.37362861137436,96.50085049647193,100.81907031059498,377900
2020-04-15,92.19174194335938,96.12813572740622,91.70082760300149,95.5463128653248,365200
2020-04-16,91.43718719482422,93.26447135306908,90.42808666044992,91.837186073908,471900
2020-04-17,96.19175720214844,96.45539672864365,93.95537462856352,94.6190199105514,468200
2020-04-20,93.65538024902344,95.24630357242098,91.98264134107129,94.31902560142582,468800
2020-04-21,91.95536041259766,94.46447546299812,91.36444470642596,91.59171944450165,405600
2020-04-22,93.6371841430664,95.36447339307446,91.2280707366768,94.6190125928656,684800
2020-04-23,92.0462646484375,94.71901766363486,91.62807998209271,94.09173719618056,416800
2020-04-24,95.13720703125,95.86448203375066,92.11899877797948,93.63719236827265,445000
2020-04-27,98.51905059814453,99.80087644450032,95.5372003706811,95.5372003706811,528900
2020-04-28,99.61907958984375,102.32819098424581,99.51907813543204,100.57362946939793,429700
2020-04-29,99.75543212890625,102.08272325160654,99.691795479016,101.81908372038274,300200
2020-04-30,96.58267974853516,99.39179937951155,96.44631350581054,97.35541254280771,375600
2020-05-01,93.01901245117188,95.83721805636081,92.29173045298595,94.85538943957236,440500
2020-05-04,90.90990447998047,92.99174212487705,89.71898695077282,92.84628294848895,450800
2020-05-05,92.80992126464844,94.23721347125597,91.83718553154922,91.86446432994262,721400
2020-05-06,89.01896667480469,95.90993831503509,88.50078055565606,95.38265926442787,850900
2020-05-07,89.6280746459961,93.20992722780868,89.32807722193924,89.70989716955744,520900
2020-05-08,89.81900024414062,92.20083561662571,88.99171667506673,91.75537896798079,521900
2020-05-11,89.45532989501953,90.11896818380337,86.79166993742213,88.81895652663043,477900
2020-05-12,84.63713073730469,89.86445092759212,84.62803780362407,89.50080987500557,536700
2020-05-13,79.78252410888672,84.0189215197512,78.89160410491984,83.8734692974782,1018700
2020-05-14,80.95526885986328,81.18254361024373,76.264314682791,78.5370621865954,669700
2020-05-15,82.82801818847656,82.89165484699096,78.8643456230421,80.00981241217697,1931200
2020-05-18,89.35533142089844,90.14624995822494,86.0916627739239,86.26439378383839,719200
2020-05-19,89.07353973388672,91.28265099455821,88.43716615332168,88.95535240281863,781200
2020-05-20,91.75535583496094,92.57354626406364,89.60988179236918,90.61898216561676,560500
2020-05-21,91.89173126220703,93.26446579837665,91.1371774056104,91.55536212549073,559900
2020-05-22,92.73334503173828,93.19988834125104,90.84885093398776,92.2667947428504,453500
2020-05-26,94.06893920898438,96.65782635734968,93.72131054435461,95.99916886581337,397800
2020-05-27,95.47773742675781,97.98428901919256,94.47145122233654,97.95684611895824,370500
2020-05-28,94.67273712158203,97.0878107845106,94.6361442504011,96.31938142784084,398900
2020-05-29,93.84025573730469,94.56294911440061,93.0352266694635,93.61155556655442,451500
2020-06-01,94.27932739257812,94.87394905098805,93.76704139979331,94.38910595362053,324400
2020-06-02,95.267333984375,96.12724878230497,94.25190475939908,95.03863383423402,370100
2020-06-03,99.1094970703125,99.63094013048692,97.08778851214697,97.24330992383273,539000
2020-06-04,100.9848403930664,101.01228329510492,97.18841640503291,98.7618745960733,473600
2020-06-05,105.09228515625,106.36385736826622,102.83273365000038,106.36385736826622,608400
2020-06-08,107.40675354003906,107.45248938741503,105.33015204253198,106.11688120290354,491100
2020-06-09,106.75724792480469,107.39761265657418,104.42451013019198,104.99168214534728,408400
2020-06-10,104.6897964477539,107.78182036339012,104.6897964477539,106.13517627850953,638900
2020-06-11,95.8802490234375,101.45138832825991,95.45029162307459,100.60977344805471,527900
2020-06-12,97.91110229492188,100.39936092147519,95.56006514750742,99.94196064392861,331600
2020-06-15,97.99344635009766,98.66124690394597,94.44401542615067,94.44401542615067,499000
2020-06-16,99.27416229248047,102.19237856485267,97.53604666154561,102.19237856485267,360100
2020-06-17,97.00546264648438,99.1460928368687,96.93227691876821,98.78932113847131,341400
2020-06-18,97.91110229492188,98.39594547242136,95.49602938782587,96.0906511445113,332600
2020-06-19,97.22502136230469,100.28045945789431,96.49318495919618,100.28045945789431,891600
2020-06-22,96.2187271118164,97.05119202615921,95.36796227707613,96.67612741050742,695200
2020-06-23,95.92599487304688,98.24958931689773,95.44115165456863,97.68241041222745,395100
2020-06-24,92.10214233398438,94.99290915458168,91.96492082181774,94.99290915458168,672400
2020-06-25,91.75450897216797,92.24849518662317,89.65961462364437,91.49835892474192,648200
2020-06-26,90.75737762451172,91.32455657743024,89.34858369323061,90.46464167641275,868000
2020-06-29,92.02894592285156,92.68760352135561,90.89459504730306,91.96491015518451,313000
2020-06-30,94.4897689819336,95.02949806677564,91.49836666287018,91.49836666287018,365900
2020-07-01,92.45890045166016,94.67271632651241,91.91917142389143,94.17872314314145,360400
2020-07-02,91.93746948242188,95.11182899816676,91.82769088688265,94.315949884102,375400
2020-07-06,93.54753112792969,95.29479701480678,92.24850869641173,94.32511040678209,593600
2020-07-07,90.94947052001953,93.31880761323741,90.5652559576732,92.59611432918155,435100
2020-07-08,92.15701293945312,92.53208454552296,90.40974737628291,90.98606925702755,434800
2020-07-09,89.2479476928711,92.2027568140406,88.47951850978055,91.7453564966653,463300
